mlbid,fullname,firstname,lastname,position,priority_pos,projection_name,ip,w,sv,k,era,whip,w_zscore,sv_zscore,k_zscore,era_zscore,whip_zscore,unadjusted_zsum,replacement_pos,adjustment_zscore,final_zsum,value,hit_pitch
542960.0,Brad Brach,Brad,Brach,RP,RP,steamer,55.0,3.0,0.0,62.0,3.7,1.26,-0.6693314035939459,-0.6192333315455485,-0.6546074232371,0.6348705086496771,0.6926994423454772,-0.6156022073814401,RP,-0.07979051039360607,-0.6953927177750462,-6.4,p
571710.0,Mychal Givens,Mychal,Givens,RP,RP,steamer,55.0,3.0,2.0,63.0,3.71,1.28,-0.6693314035939459,-0.4576942015771446,-0.6365042027750024,0.6321146499518653,0.6761634240817739,-0.45525173391245377,RP,-0.07979051039360607,-0.5350422443060598,-4.7,p
593969.0,Jayson Aquino,Jayson,Aquino,RP,RP,steamer,45.0,2.0,0.0,29.0,4.8,1.43,-0.9158370867589798,-0.6192333315455485,-1.252013698486322,0.5722373564266829,0.7671115245321413,-1.4477352358320261,RP,-0.07979051039360607,-1.5275257462256322,-15.3,p
643354.0,Donnie Hart,Donnie,Hart,RP,RP,steamer,40.0,2.0,0.0,30.0,4.46,1.44,-0.9158370867589798,-0.6192333315455485,-1.2339104780242243,0.7606378783134495,0.868582545695774,-1.1397604723195291,RP,-0.07979051039360607,-1.2195509827131352,-12.0,p
543118.0,Oliver Drake,Oliver,Drake,RP,RP,steamer,35.0,2.0,0.0,39.0,3.67,1.3,-0.9158370867589798,-0.6192333315455485,-1.0709814938653457,1.0109199545965346,1.0504787465965082,-0.5446532109768312,RP,-0.07979051039360607,-0.6244437213704372,-5.7,p
595296.0,Chris Lee,Chris,Lee,RP,RP,steamer,30.0,1.0,0.0,18.0,5.16,1.57,-1.1623427699240136,-0.6192333315455485,-1.451149123569396,0.8788892697104626,1.0264263563947582,-1.3274095989337376,RP,-0.07979051039360607,-1.4072001093273436,-14.0,p
594742.0,Alec Asher,Alec,Asher,SP,SP,steamer,27.0,1.0,0.0,16.0,5.63,1.48,-1.1623427699240136,-0.6192333315455485,-1.4873555644935912,0.892868989286635,1.1337601476700676,-1.2423025290064507,SP,0.6596060982602885,-0.5826964307461622,-5.2,p
573064.0,Vidal Nuno,Vidal,Nuno,RP,RP,steamer,25.0,1.0,0.0,22.0,4.19,1.25,-1.1623427699240136,-0.6192333315455485,-1.3787362417210054,1.1296724112113317,1.2646953468308442,-0.7659445851483917,RP,-0.07979051039360607,-0.8457350955419978,-8.0,p
542947.0,Richard Bleier,Richard,Bleier,RP,RP,steamer,20.0,1.0,0.0,10.0,4.54,1.37,-1.1623427699240136,-0.6192333315455485,-1.595974887266177,1.1995710090921932,1.322571410753805,-0.855408568889741,RP,-0.07979051039360607,-0.9351990792833471,-9.0,p
548337.0,Logan Verrett,Logan,Verrett,SP,SP,steamer,18.0,1.0,0.0,12.0,5.57,1.55,-1.1623427699240136,-0.6192333315455485,-1.5597684463419819,1.1521702394898312,1.315055038815758,-0.8741192695059548,SP,0.6596060982602885,-0.21451317124566627,-1.3,p
